"VmName","HostName","ClusterName","NumCpu","CpuTopology","MemoryGB","DiskLabel","DiskCapacityGB","DiskFormat","Datastore"
"inha-esx01-10.200.91.x","fu-05.***.***","epa-cl01","8","1 socket(s) x 8 core(s)","64","Hard disk 2","100","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 1","48.6","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 2","7.3","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 3","25","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 4","50","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 5","50","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 6","10","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 7","15","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 8","25","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 9","1","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 10","10","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 11","10","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 12","100","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 13","50","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 14","25","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 15","15","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 16","100","Thin","vsanDatastore"
"inha-vc-10.200.91.x","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 17","200","Thin","vsanDatastore"
"inha-esx02","fu-01.***.***","epa-cl01","8","1 socket(s) x 8 core(s)","64","Hard disk 1","150","Thin","vsanDatastore"
"inha-esx02","fu-01.***.***","epa-cl01","8","1 socket(s) x 8 core(s)","64","Hard disk 2","100","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 1","48.6","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 2","7.0","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 3","25","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 4","50","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 5","50","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 6","10","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 7","15","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 8","25","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 9","1","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 10","10","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 11","10","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 12","100","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 13","50","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 14","25","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 15","15","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 16","100","Thin","vsanDatastore"
"k1mes-vc01-10.200.92.x","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 17","200","Thin","vsanDatastore"
"k3mes-vc01","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 1","48.6","Thin","vsanDatastore"
"k3mes-vc01","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 2","7.0","Thin","vsanDatastore"
"k3mes-vc01","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 3","25","Thin","vsanDatastore"
"k3mes-vc01","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 4","50","Thin","vsanDatastore"
"k3mes-vc01","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 5","50","Thin","vsanDatastore"
"k3mes-vc01","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 6","10","Thin","vsanDatastore"
"k3mes-vc01","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 7","15","Thin","vsanDatastore"
"k3mes-vc01","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 8","25","Thin","vsanDatastore"
"k3mes-vc01","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 9","1","Thin","vsanDatastore"
"k3mes-vc01","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 10","10","Thin","vsanDatastore"
"k3mes-vc01","fu-06.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","21","Hard disk 11","10","Thin","vsanDatastore"
